"appliance","user_query","ai_response","intent"
"microwave","My microwave isn't heating food.","Check if the power settings are correct and ensure the door is properly closed.","troubleshooting"
"microwave","I need to book a service appointment for my microwave.","Please provide your model number and a description of the issue.","repair_request"
"microwave","I need to book a service appointment for my microwave.","Please provide your model number and a description of the issue.","repair_request"
"microwave","How do I clean my microwave properly?","Use a mixture of vinegar and water, heat for two minutes, and wipe clean.","general_inquiry"
"air_conditioner","My AC is not blowing cold air.","Check if the thermostat is set correctly and clean or replace the air filter.","troubleshooting"
"refrigerator","My refrigerator isn't cooling.","Check if the temperature settings are correct and ensure vents aren’t blocked.","troubleshooting"
"air_conditioner","How often should I clean my AC filter?","For optimal efficiency, clean the filter once a month.","general_inquiry"
"dishwasher","The dishwasher door won’t close properly.","Ensure that no dishes are obstructing the door and check the latch.","troubleshooting"
"air_conditioner","The AC unit is making a strange noise.","Loose parts or debris might be causing the noise. Inspect the fan and motor.","troubleshooting"
"air_conditioner","How often should I clean my AC filter?","For optimal efficiency, clean the filter once a month.","general_inquiry"
"dishwasher","I need to schedule a repair for my dishwasher.","Please provide your model number and issue details.","repair_request"
"refrigerator","The fridge is making a loud buzzing sound.","It might be due to the compressor or condenser fan. Try cleaning the coils.","troubleshooting"
"refrigerator","The fridge is making a loud buzzing sound.","It might be due to the compressor or condenser fan. Try cleaning the coils.","troubleshooting"
"air_conditioner","I need to schedule an AC repair.","Please provide the model details and a description of the issue.","repair_request"
"dishwasher","I need to schedule a repair for my dishwasher.","Please provide your model number and issue details.","repair_request"
"microwave","How do I clean my microwave properly?","Use a mixture of vinegar and water, heat for two minutes, and wipe clean.","general_inquiry"
"air_conditioner","The AC unit is making a strange noise.","Loose parts or debris might be causing the noise. Inspect the fan and motor.","troubleshooting"
"refrigerator","There is water leaking from my refrigerator.","Ensure the drain line is not clogged and the defrost drain is clear.","troubleshooting"
"air_conditioner","How often should I clean my AC filter?","For optimal efficiency, clean the filter once a month.","general_inquiry"
"dishwasher","I need to schedule a repair for my dishwasher.","Please provide your model number and issue details.","repair_request"
"dishwasher","The dishwasher door won’t close properly.","Ensure that no dishes are obstructing the door and check the latch.","troubleshooting"
"refrigerator","I need a technician to fix my refrigerator.","Please share the model number and details about the issue.","repair_request"
"microwave","The microwave is sparking inside.","Avoid using metal objects inside and check for damage to the waveguide cover.","troubleshooting"
"refrigerator","I need a technician to fix my refrigerator.","Please share the model number and details about the issue.","repair_request"
"refrigerator","My refrigerator isn't cooling.","Check if the temperature settings are correct and ensure vents aren’t blocked.","troubleshooting"
"air_conditioner","The air conditioner is leaking water inside the house.","This might be due to a clogged condensate drain. Try cleaning it.","troubleshooting"
"microwave","The microwave is sparking inside.","Avoid using metal objects inside and check for damage to the waveguide cover.","troubleshooting"
"air_conditioner","My AC is not blowing cold air.","Check if the thermostat is set correctly and clean or replace the air filter.","troubleshooting"
"dishwasher","The dishwasher makes a loud noise while running.","This may be due to a faulty motor or an object stuck in the pump.","troubleshooting"
"dishwasher","The dishwasher door won’t close properly.","Ensure that no dishes are obstructing the door and check the latch.","troubleshooting"
"refrigerator","How often should I replace my refrigerator’s water filter?","Typically, every six months, but refer to your manual for details.","general_inquiry"
"microwave","My microwave isn't heating food.","Check if the power settings are correct and ensure the door is properly closed.","troubleshooting"
"refrigerator","My refrigerator isn't cooling.","Check if the temperature settings are correct and ensure vents aren’t blocked.","troubleshooting"
"dishwasher","The dishwasher makes a loud noise while running.","This may be due to a faulty motor or an object stuck in the pump.","troubleshooting"
"dishwasher","How often should I clean my dishwasher filter?","It's recommended to clean it once a month for optimal performance.","general_inquiry"
"microwave","The microwave display is not working.","Try resetting the microwave or check if there is a power issue.","troubleshooting"
"air_conditioner","The AC unit is making a strange noise.","Loose parts or debris might be causing the noise. Inspect the fan and motor.","troubleshooting"
"refrigerator","My refrigerator isn't cooling.","Check if the temperature settings are correct and ensure vents aren’t blocked.","troubleshooting"
"refrigerator","My refrigerator isn't cooling.","Check if the temperature settings are correct and ensure vents aren’t blocked.","troubleshooting"
"refrigerator","The fridge is making a loud buzzing sound.","It might be due to the compressor or condenser fan. Try cleaning the coils.","troubleshooting"
"refrigerator","There is water leaking from my refrigerator.","Ensure the drain line is not clogged and the defrost drain is clear.","troubleshooting"
"microwave","How do I clean my microwave properly?","Use a mixture of vinegar and water, heat for two minutes, and wipe clean.","general_inquiry"
"refrigerator","I need a technician to fix my refrigerator.","Please share the model number and details about the issue.","repair_request"
"microwave","The microwave is sparking inside.","Avoid using metal objects inside and check for damage to the waveguide cover.","troubleshooting"
"dishwasher","How often should I clean my dishwasher filter?","It's recommended to clean it once a month for optimal performance.","general_inquiry"
"dishwasher","The dishwasher door won’t close properly.","Ensure that no dishes are obstructing the door and check the latch.","troubleshooting"
"air_conditioner","My AC is not blowing cold air.","Check if the thermostat is set correctly and clean or replace the air filter.","troubleshooting"
"air_conditioner","How often should I clean my AC filter?","For optimal efficiency, clean the filter once a month.","general_inquiry"
"air_conditioner","The air conditioner is leaking water inside the house.","This might be due to a clogged condensate drain. Try cleaning it.","troubleshooting"
"refrigerator","There is water leaking from my refrigerator.","Ensure the drain line is not clogged and the defrost drain is clear.","troubleshooting"
"microwave","How do I clean my microwave properly?","Use a mixture of vinegar and water, heat for two minutes, and wipe clean.","general_inquiry"
"microwave","How do I clean my microwave properly?","Use a mixture of vinegar and water, heat for two minutes, and wipe clean.","general_inquiry"
"air_conditioner","How often should I clean my AC filter?","For optimal efficiency, clean the filter once a month.","general_inquiry"
"refrigerator","There is water leaking from my refrigerator.","Ensure the drain line is not clogged and the defrost drain is clear.","troubleshooting"
"air_conditioner","The AC unit is making a strange noise.","Loose parts or debris might be causing the noise. Inspect the fan and motor.","troubleshooting"
"microwave","How do I clean my microwave properly?","Use a mixture of vinegar and water, heat for two minutes, and wipe clean.","general_inquiry"
"air_conditioner","How often should I clean my AC filter?","For optimal efficiency, clean the filter once a month.","general_inquiry"
"air_conditioner","My AC is not blowing cold air.","Check if the thermostat is set correctly and clean or replace the air filter.","troubleshooting"
"microwave","The microwave is sparking inside.","Avoid using metal objects inside and check for damage to the waveguide cover.","troubleshooting"
"microwave","How do I clean my microwave properly?","Use a mixture of vinegar and water, heat for two minutes, and wipe clean.","general_inquiry"
"dishwasher","My dishwasher isn't draining properly.","Check if the drain hose is clogged or kinked.","troubleshooting"
"refrigerator","The fridge is making a loud buzzing sound.","It might be due to the compressor or condenser fan. Try cleaning the coils.","troubleshooting"
"dishwasher","I need to schedule a repair for my dishwasher.","Please provide your model number and issue details.","repair_request"
"air_conditioner","I need to schedule an AC repair.","Please provide the model details and a description of the issue.","repair_request"
"microwave","The microwave is sparking inside.","Avoid using metal objects inside and check for damage to the waveguide cover.","troubleshooting"
"microwave","How do I clean my microwave properly?","Use a mixture of vinegar and water, heat for two minutes, and wipe clean.","general_inquiry"
"dishwasher","I need to schedule a repair for my dishwasher.","Please provide your model number and issue details.","repair_request"
"dishwasher","The dishwasher makes a loud noise while running.","This may be due to a faulty motor or an object stuck in the pump.","troubleshooting"
"refrigerator","There is water leaking from my refrigerator.","Ensure the drain line is not clogged and the defrost drain is clear.","troubleshooting"
"dishwasher","How often should I clean my dishwasher filter?","It's recommended to clean it once a month for optimal performance.","general_inquiry"
"dishwasher","How often should I clean my dishwasher filter?","It's recommended to clean it once a month for optimal performance.","general_inquiry"
"air_conditioner","The air conditioner is leaking water inside the house.","This might be due to a clogged condensate drain. Try cleaning it.","troubleshooting"
"air_conditioner","The air conditioner is leaking water inside the house.","This might be due to a clogged condensate drain. Try cleaning it.","troubleshooting"
"dishwasher","The dishwasher door won’t close properly.","Ensure that no dishes are obstructing the door and check the latch.","troubleshooting"
"dishwasher","My dishwasher isn't draining properly.","Check if the drain hose is clogged or kinked.","troubleshooting"
"dishwasher","The dishwasher makes a loud noise while running.","This may be due to a faulty motor or an object stuck in the pump.","troubleshooting"
"refrigerator","How often should I replace my refrigerator’s water filter?","Typically, every six months, but refer to your manual for details.","general_inquiry"
"air_conditioner","I need to schedule an AC repair.","Please provide the model details and a description of the issue.","repair_request"
"refrigerator","How often should I replace my refrigerator’s water filter?","Typically, every six months, but refer to your manual for details.","general_inquiry"
"dishwasher","My dishwasher isn't draining properly.","Check if the drain hose is clogged or kinked.","troubleshooting"
"dishwasher","The dishwasher makes a loud noise while running.","This may be due to a faulty motor or an object stuck in the pump.","troubleshooting"
"refrigerator","How often should I replace my refrigerator’s water filter?","Typically, every six months, but refer to your manual for details.","general_inquiry"
"refrigerator","The fridge is making a loud buzzing sound.","It might be due to the compressor or condenser fan. Try cleaning the coils.","troubleshooting"
"dishwasher","My dishwasher isn't draining properly.","Check if the drain hose is clogged or kinked.","troubleshooting"
"dishwasher","The dishwasher makes a loud noise while running.","This may be due to a faulty motor or an object stuck in the pump.","troubleshooting"
"microwave","The microwave is sparking inside.","Avoid using metal objects inside and check for damage to the waveguide cover.","troubleshooting"
"refrigerator","My refrigerator isn't cooling.","Check if the temperature settings are correct and ensure vents aren’t blocked.","troubleshooting"
"refrigerator","There is water leaking from my refrigerator.","Ensure the drain line is not clogged and the defrost drain is clear.","troubleshooting"
"air_conditioner","The AC unit is making a strange noise.","Loose parts or debris might be causing the noise. Inspect the fan and motor.","troubleshooting"
"dishwasher","The dishwasher door won’t close properly.","Ensure that no dishes are obstructing the door and check the latch.","troubleshooting"
"air_conditioner","The air conditioner is leaking water inside the house.","This might be due to a clogged condensate drain. Try cleaning it.","troubleshooting"
"dishwasher","How often should I clean my dishwasher filter?","It's recommended to clean it once a month for optimal performance.","general_inquiry"
"dishwasher","How often should I clean my dishwasher filter?","It's recommended to clean it once a month for optimal performance.","general_inquiry"
"refrigerator","I need a technician to fix my refrigerator.","Please share the model number and details about the issue.","repair_request"
"dishwasher","The dishwasher makes a loud noise while running.","This may be due to a faulty motor or an object stuck in the pump.","troubleshooting"
"air_conditioner","The air conditioner is leaking water inside the house.","This might be due to a clogged condensate drain. Try cleaning it.","troubleshooting"
"air_conditioner","The AC unit is making a strange noise.","Loose parts or debris might be causing the noise. Inspect the fan and motor.","troubleshooting"
"microwave","I need to book a service appointment for my microwave.","Please provide your model number and a description of the issue.","repair_request"
"air_conditioner","The AC unit is making a strange noise.","Loose parts or debris might be causing the noise. Inspect the fan and motor.","troubleshooting"
"refrigerator","My refrigerator isn't cooling.","Check if the temperature settings are correct and ensure vents aren’t blocked.","troubleshooting"
"air_conditioner","The AC unit is making a strange noise.","Loose parts or debris might be causing the noise. Inspect the fan and motor.","troubleshooting"
"air_conditioner","The air conditioner is leaking water inside the house.","This might be due to a clogged condensate drain. Try cleaning it.","troubleshooting"
"dishwasher","The dishwasher makes a loud noise while running.","This may be due to a faulty motor or an object stuck in the pump.","troubleshooting"
"air_conditioner","My AC is not blowing cold air.","Check if the thermostat is set correctly and clean or replace the air filter.","troubleshooting"
"dishwasher","I need to schedule a repair for my dishwasher.","Please provide your model number and issue details.","repair_request"
"air_conditioner","My AC is not blowing cold air.","Check if the thermostat is set correctly and clean or replace the air filter.","troubleshooting"
"dishwasher","The dishwasher door won’t close properly.","Ensure that no dishes are obstructing the door and check the latch.","troubleshooting"
"microwave","The microwave display is not working.","Try resetting the microwave or check if there is a power issue.","troubleshooting"
"air_conditioner","I need to schedule an AC repair.","Please provide the model details and a description of the issue.","repair_request"
"refrigerator","My refrigerator isn't cooling.","Check if the temperature settings are correct and ensure vents aren’t blocked.","troubleshooting"
"dishwasher","I need to schedule a repair for my dishwasher.","Please provide your model number and issue details.","repair_request"
"microwave","The microwave is sparking inside.","Avoid using metal objects inside and check for damage to the waveguide cover.","troubleshooting"
"air_conditioner","My AC is not blowing cold air.","Check if the thermostat is set correctly and clean or replace the air filter.","troubleshooting"
"refrigerator","My refrigerator isn't cooling.","Check if the temperature settings are correct and ensure vents aren’t blocked.","troubleshooting"
"dishwasher","I need to schedule a repair for my dishwasher.","Please provide your model number and issue details.","repair_request"
"refrigerator","My refrigerator isn't cooling.","Check if the temperature settings are correct and ensure vents aren’t blocked.","troubleshooting"
"air_conditioner","How often should I clean my AC filter?","For optimal efficiency, clean the filter once a month.","general_inquiry"
"dishwasher","The dishwasher door won’t close properly.","Ensure that no dishes are obstructing the door and check the latch.","troubleshooting"
"microwave","My microwave isn't heating food.","Check if the power settings are correct and ensure the door is properly closed.","troubleshooting"
"refrigerator","There is water leaking from my refrigerator.","Ensure the drain line is not clogged and the defrost drain is clear.","troubleshooting"
"air_conditioner","The air conditioner is leaking water inside the house.","This might be due to a clogged condensate drain. Try cleaning it.","troubleshooting"
"refrigerator","There is water leaking from my refrigerator.","Ensure the drain line is not clogged and the defrost drain is clear.","troubleshooting"
"microwave","I need to book a service appointment for my microwave.","Please provide your model number and a description of the issue.","repair_request"
"refrigerator","There is water leaking from my refrigerator.","Ensure the drain line is not clogged and the defrost drain is clear.","troubleshooting"
"air_conditioner","How often should I clean my AC filter?","For optimal efficiency, clean the filter once a month.","general_inquiry"
"air_conditioner","The AC unit is making a strange noise.","Loose parts or debris might be causing the noise. Inspect the fan and motor.","troubleshooting"
"refrigerator","There is water leaking from my refrigerator.","Ensure the drain line is not clogged and the defrost drain is clear.","troubleshooting"
"refrigerator","I need a technician to fix my refrigerator.","Please share the model number and details about the issue.","repair_request"
"refrigerator","The fridge is making a loud buzzing sound.","It might be due to the compressor or condenser fan. Try cleaning the coils.","troubleshooting"
"refrigerator","My refrigerator isn't cooling.","Check if the temperature settings are correct and ensure vents aren’t blocked.","troubleshooting"
"dishwasher","I need to schedule a repair for my dishwasher.","Please provide your model number and issue details.","repair_request"
"dishwasher","I need to schedule a repair for my dishwasher.","Please provide your model number and issue details.","repair_request"
"dishwasher","How often should I clean my dishwasher filter?","It's recommended to clean it once a month for optimal performance.","general_inquiry"
"dishwasher","The dishwasher makes a loud noise while running.","This may be due to a faulty motor or an object stuck in the pump.","troubleshooting"
"refrigerator","The fridge is making a loud buzzing sound.","It might be due to the compressor or condenser fan. Try cleaning the coils.","troubleshooting"
"air_conditioner","The air conditioner is leaking water inside the house.","This might be due to a clogged condensate drain. Try cleaning it.","troubleshooting"
"refrigerator","How often should I replace my refrigerator’s water filter?","Typically, every six months, but refer to your manual for details.","general_inquiry"
"refrigerator","My refrigerator isn't cooling.","Check if the temperature settings are correct and ensure vents aren’t blocked.","troubleshooting"
"dishwasher","My dishwasher isn't draining properly.","Check if the drain hose is clogged or kinked.","troubleshooting"
"air_conditioner","The AC unit is making a strange noise.","Loose parts or debris might be causing the noise. Inspect the fan and motor.","troubleshooting"
"dishwasher","The dishwasher makes a loud noise while running.","This may be due to a faulty motor or an object stuck in the pump.","troubleshooting"
"air_conditioner","The AC unit is making a strange noise.","Loose parts or debris might be causing the noise. Inspect the fan and motor.","troubleshooting"
"refrigerator","I need a technician to fix my refrigerator.","Please share the model number and details about the issue.","repair_request"
"refrigerator","My refrigerator isn't cooling.","Check if the temperature settings are correct and ensure vents aren’t blocked.","troubleshooting"
"microwave","The microwave is sparking inside.","Avoid using metal objects inside and check for damage to the waveguide cover.","troubleshooting"
"dishwasher","The dishwasher door won’t close properly.","Ensure that no dishes are obstructing the door and check the latch.","troubleshooting"
"microwave","The microwave display is not working.","Try resetting the microwave or check if there is a power issue.","troubleshooting"
"microwave","How do I clean my microwave properly?","Use a mixture of vinegar and water, heat for two minutes, and wipe clean.","general_inquiry"
"refrigerator","My refrigerator isn't cooling.","Check if the temperature settings are correct and ensure vents aren’t blocked.","troubleshooting"
"air_conditioner","How often should I clean my AC filter?","For optimal efficiency, clean the filter once a month.","general_inquiry"
"air_conditioner","I need to schedule an AC repair.","Please provide the model details and a description of the issue.","repair_request"
"dishwasher","I need to schedule a repair for my dishwasher.","Please provide your model number and issue details.","repair_request"
"microwave","My microwave isn't heating food.","Check if the power settings are correct and ensure the door is properly closed.","troubleshooting"
"microwave","How do I clean my microwave properly?","Use a mixture of vinegar and water, heat for two minutes, and wipe clean.","general_inquiry"
"refrigerator","I need a technician to fix my refrigerator.","Please share the model number and details about the issue.","repair_request"
"refrigerator","I need a technician to fix my refrigerator.","Please share the model number and details about the issue.","repair_request"
"air_conditioner","My AC is not blowing cold air.","Check if the thermostat is set correctly and clean or replace the air filter.","troubleshooting"
"dishwasher","How often should I clean my dishwasher filter?","It's recommended to clean it once a month for optimal performance.","general_inquiry"
"air_conditioner","The air conditioner is leaking water inside the house.","This might be due to a clogged condensate drain. Try cleaning it.","troubleshooting"
"dishwasher","My dishwasher isn't draining properly.","Check if the drain hose is clogged or kinked.","troubleshooting"
"air_conditioner","How often should I clean my AC filter?","For optimal efficiency, clean the filter once a month.","general_inquiry"
"dishwasher","The dishwasher door won’t close properly.","Ensure that no dishes are obstructing the door and check the latch.","troubleshooting"
"dishwasher","I need to schedule a repair for my dishwasher.","Please provide your model number and issue details.","repair_request"
"dishwasher","The dishwasher makes a loud noise while running.","This may be due to a faulty motor or an object stuck in the pump.","troubleshooting"
"microwave","The microwave display is not working.","Try resetting the microwave or check if there is a power issue.","troubleshooting"
"dishwasher","The dishwasher makes a loud noise while running.","This may be due to a faulty motor or an object stuck in the pump.","troubleshooting"
"air_conditioner","How often should I clean my AC filter?","For optimal efficiency, clean the filter once a month.","general_inquiry"
"refrigerator","The fridge is making a loud buzzing sound.","It might be due to the compressor or condenser fan. Try cleaning the coils.","troubleshooting"
"air_conditioner","The AC unit is making a strange noise.","Loose parts or debris might be causing the noise. Inspect the fan and motor.","troubleshooting"
"refrigerator","My refrigerator isn't cooling.","Check if the temperature settings are correct and ensure vents aren’t blocked.","troubleshooting"
"refrigerator","I need a technician to fix my refrigerator.","Please share the model number and details about the issue.","repair_request"
"dishwasher","The dishwasher door won’t close properly.","Ensure that no dishes are obstructing the door and check the latch.","troubleshooting"
"microwave","The microwave is sparking inside.","Avoid using metal objects inside and check for damage to the waveguide cover.","troubleshooting"
"refrigerator","My refrigerator isn't cooling.","Check if the temperature settings are correct and ensure vents aren’t blocked.","troubleshooting"
"microwave","The microwave is sparking inside.","Avoid using metal objects inside and check for damage to the waveguide cover.","troubleshooting"
"microwave","I need to book a service appointment for my microwave.","Please provide your model number and a description of the issue.","repair_request"
"microwave","The microwave display is not working.","Try resetting the microwave or check if there is a power issue.","troubleshooting"
"refrigerator","How often should I replace my refrigerator’s water filter?","Typically, every six months, but refer to your manual for details.","general_inquiry"
"refrigerator","I need a technician to fix my refrigerator.","Please share the model number and details about the issue.","repair_request"
"refrigerator","How often should I replace my refrigerator’s water filter?","Typically, every six months, but refer to your manual for details.","general_inquiry"
"air_conditioner","The AC unit is making a strange noise.","Loose parts or debris might be causing the noise. Inspect the fan and motor.","troubleshooting"
"microwave","The microwave display is not working.","Try resetting the microwave or check if there is a power issue.","troubleshooting"
"refrigerator","There is water leaking from my refrigerator.","Ensure the drain line is not clogged and the defrost drain is clear.","troubleshooting"
"refrigerator","The fridge is making a loud buzzing sound.","It might be due to the compressor or condenser fan. Try cleaning the coils.","troubleshooting"
"dishwasher","How often should I clean my dishwasher filter?","It's recommended to clean it once a month for optimal performance.","general_inquiry"
"microwave","The microwave display is not working.","Try resetting the microwave or check if there is a power issue.","troubleshooting"
"microwave","I need to book a service appointment for my microwave.","Please provide your model number and a description of the issue.","repair_request"
"air_conditioner","My AC is not blowing cold air.","Check if the thermostat is set correctly and clean or replace the air filter.","troubleshooting"
"dishwasher","The dishwasher door won’t close properly.","Ensure that no dishes are obstructing the door and check the latch.","troubleshooting"
"refrigerator","My refrigerator isn't cooling.","Check if the temperature settings are correct and ensure vents aren’t blocked.","troubleshooting"
"refrigerator","My refrigerator isn't cooling.","Check if the temperature settings are correct and ensure vents aren’t blocked.","troubleshooting"
"microwave","The microwave display is not working.","Try resetting the microwave or check if there is a power issue.","troubleshooting"
"microwave","I need to book a service appointment for my microwave.","Please provide your model number and a description of the issue.","repair_request"
"air_conditioner","My AC is not blowing cold air.","Check if the thermostat is set correctly and clean or replace the air filter.","troubleshooting"
"microwave","The microwave is sparking inside.","Avoid using metal objects inside and check for damage to the waveguide cover.","troubleshooting"
"microwave","The microwave is sparking inside.","Avoid using metal objects inside and check for damage to the waveguide cover.","troubleshooting"
"air_conditioner","The AC unit is making a strange noise.","Loose parts or debris might be causing the noise. Inspect the fan and motor.","troubleshooting"
"dishwasher","How often should I clean my dishwasher filter?","It's recommended to clean it once a month for optimal performance.","general_inquiry"
"dishwasher","How often should I clean my dishwasher filter?","It's recommended to clean it once a month for optimal performance.","general_inquiry"
"dishwasher","My dishwasher isn't draining properly.","Check if the drain hose is clogged or kinked.","troubleshooting"
"refrigerator","I need a technician to fix my refrigerator.","Please share the model number and details about the issue.","repair_request"
"refrigerator","I need a technician to fix my refrigerator.","Please share the model number and details about the issue.","repair_request"
"microwave","The microwave display is not working.","Try resetting the microwave or check if there is a power issue.","troubleshooting"
"refrigerator","I need a technician to fix my refrigerator.","Please share the model number and details about the issue.","repair_request"
"dishwasher","The dishwasher makes a loud noise while running.","This may be due to a faulty motor or an object stuck in the pump.","troubleshooting"
"air_conditioner","The air conditioner is leaking water inside the house.","This might be due to a clogged condensate drain. Try cleaning it.","troubleshooting"
"dishwasher","My dishwasher isn't draining properly.","Check if the drain hose is clogged or kinked.","troubleshooting"
"dishwasher","My dishwasher isn't draining properly.","Check if the drain hose is clogged or kinked.","troubleshooting"
"refrigerator","The fridge is making a loud buzzing sound.","It might be due to the compressor or condenser fan. Try cleaning the coils.","troubleshooting"
"dishwasher","How often should I clean my dishwasher filter?","It's recommended to clean it once a month for optimal performance.","general_inquiry"
"refrigerator","How often should I replace my refrigerator’s water filter?","Typically, every six months, but refer to your manual for details.","general_inquiry"
"air_conditioner","The AC unit is making a strange noise.","Loose parts or debris might be causing the noise. Inspect the fan and motor.","troubleshooting"
"microwave","The microwave is sparking inside.","Avoid using metal objects inside and check for damage to the waveguide cover.","troubleshooting"
"refrigerator","I need a technician to fix my refrigerator.","Please share the model number and details about the issue.","repair_request"
"microwave","My microwave isn't heating food.","Check if the power settings are correct and ensure the door is properly closed.","troubleshooting"
"microwave","My microwave isn't heating food.","Check if the power settings are correct and ensure the door is properly closed.","troubleshooting"
"dishwasher","The dishwasher makes a loud noise while running.","This may be due to a faulty motor or an object stuck in the pump.","troubleshooting"
"air_conditioner","The air conditioner is leaking water inside the house.","This might be due to a clogged condensate drain. Try cleaning it.","troubleshooting"
"refrigerator","There is water leaking from my refrigerator.","Ensure the drain line is not clogged and the defrost drain is clear.","troubleshooting"
"dishwasher","How often should I clean my dishwasher filter?","It's recommended to clean it once a month for optimal performance.","general_inquiry"
"refrigerator","The fridge is making a loud buzzing sound.","It might be due to the compressor or condenser fan. Try cleaning the coils.","troubleshooting"
"dishwasher","The dishwasher makes a loud noise while running.","This may be due to a faulty motor or an object stuck in the pump.","troubleshooting"
"microwave","My microwave isn't heating food.","Check if the power settings are correct and ensure the door is properly closed.","troubleshooting"
"air_conditioner","The air conditioner is leaking water inside the house.","This might be due to a clogged condensate drain. Try cleaning it.","troubleshooting"
"dishwasher","How often should I clean my dishwasher filter?","It's recommended to clean it once a month for optimal performance.","general_inquiry"
"microwave","I need to book a service appointment for my microwave.","Please provide your model number and a description of the issue.","repair_request"
"microwave","How do I clean my microwave properly?","Use a mixture of vinegar and water, heat for two minutes, and wipe clean.","general_inquiry"
